aerodrome,runway,length,width,tdze,ende,start_lat,start_lon,end_lat,end_lon
CNP3,10,3937,75,355,351,45.4106774,-76.3734046,45.4112901,-76.3580911
CNP3,16,2360,50,350,351,45.4169791,-76.3678915,45.4113555,-76.3632414
CNP3,28,3937,75,351,355,45.4112901,-76.3580911,45.4106774,-76.3734046
CNP3,34,2360,50,351,350,45.4113555,-76.3632414,45.4169791,-76.3678915
CPR2,08,2260,50,230,230,45.2371928,-75.3086127,45.2411800,-75.2983238
CPR2,26,2260,50,230,230,45.2411800,-75.2983238,45.2371928,-75.3086127
CSF7,17,3000,50,216,216,45.3027276,-75.1732316,45.2950309,-75.1685857
CSF7,35,3000,50,216,216,45.2950309,-75.1685857,45.3027276,-75.1732316
CYND,09,6000,150,209,211,45.5196362,-75.5749275,45.5237797,-75.5522964
CYND,27,6000,150,211,209,45.5237797,-75.5522964,45.5196362,-75.5749275
CYRP,04,2204,65,375,361,45.3205471,-76.0274720,45.3259539,-76.0235345
CYRP,10,3936,98,382,382,45.3188486,-76.0297853,45.3200812,-76.0145888
CYRP,22,2204,65,361,375,45.3259539,-76.0235345,45.3205471,-76.0274720
CYRP,28,3936,98,382,382,45.3200812,-76.0145888,45.3188486,-76.0297853
CYSH,06,3998,75,418,415,44.9421588,-75.9461355,44.9492755,-75.9344040
CYSH,24,3998,75,415,418,44.9492755,-75.9344040,44.9421588,-75.9461355
